class,sheet,row,section,desc_old,desc_new,price_old,price_new,note
REFUSED (Michael's ruling),Sheet1,135,?,100*19 PICTURE  FRAME,100*19 PICTURE  FRAME,68.30601092896174,46.27732240437159,
REFUSED (Michael's ruling),Sheet1,136,?,INT GRP SKIN 1*450 CSM,Rhinotex 1150,213.11,213.11,
REFUSED (Michael's ruling),Sheet1,142,?,EXT GRP SKIN 1*450 CSM,Rhinotex 1150,213.11,213.11,
REFUSED (Michael's ruling),Sheet1,143,?,GLUE LINE,GLUE LINE,28.583333333333332,28.583333333333332,
REFUSED (Michael's ruling),Sheet1,144,?,45MM EPS,45MM EPS,92.7,92.7,
REFUSED (Michael's ruling),Sheet1,145,?,80 DV URETHANE,80 DV URETHANE,411.57756241610736,411.57756241610736,
REFUSED (Michael's ruling),Sheet1,146,?,GLUE LINE,GLUE LINE,28.583333333333332,28.583333333333332,
REFUSED (Michael's ruling),Sheet1,147,?,100*45MM PICTURE FRAME,100*45MM PICTURE FRAME,34.958294778384946,34.144961445051614,
REFUSED (Michael's ruling),Sheet1,148,?,INT GRP SKIN 1*450 CSM,Rhinotex 1150,213.11,213.11,
REFUSED (Michael's ruling),Sheet1,154,?,5MM BEND UP SUB FRAME,5MM BEND UP SUB FRAME,243,243,
REFUSED (Michael's ruling),Sheet1,155,?,80*50*3 CROSSMEMEBERS,80*50*3 CROSSMEMEBERS,124.68,124.68,
REFUSED (Michael's ruling),Sheet1,156,?,2MM PLATE,2MM PLATE,2765,2765,
REFUSED (Michael's ruling),Sheet1,163,?,4 MM BEND UP SUB FRAME,4 MM BEND UP SUB FRAME,243,243,
REFUSED (Michael's ruling),Sheet1,164,?,80*50*3 CROSSMEMBERS,80*50*3 CROSSMEMBERS,124.68,124.68,
REFUSED (Michael's ruling),Sheet1,165,?,3MM PLATE,3MM PLATE,4345,4345,
REFUSED (Michael's ruling),Sheet1,172,?,4 MM BEND UP SUB FRAME,4 MM BEND UP SUB FRAME,243,243,
REFUSED (Michael's ruling),Sheet1,173,?,80*50*3 CROSSMEMBERS,80*50*3 CROSSMEMBERS,124.68,124.68,
REFUSED (Michael's ruling),Sheet1,174,?,3MM PLATE,3MM PLATE,1145.56,1145.56,
REFUSED (Michael's ruling),Sheet1,182,?,4 MM BEND UP SUB FRAME,4 MM BEND UP SUB FRAME,243,243,
REFUSED (Michael's ruling),Sheet1,183,?,80*50*3 CROSSMEMBERS,80*50*3 CROSSMEMBERS,124.68,124.68,
REFUSED (Michael's ruling),Sheet1,184,?,4MM PLATE,4MM PLATE,2326.21,2326.21,
REFUSED (Michael's ruling),Sheet1,192,?,4 MM BEND UP SUB FRAME,4 MM BEND UP SUB FRAME,243,243,
