sheet,section,row,desc_old,desc_new,price_old,price_new,total_old,total_new,desc_changed,price_changed,total_changed,highlighted
Manni DF,?,75,DOOR BLOCKS,DOOR BLOCKS,525.559,587.119,525.559,587.119,False,True,True,False
Manni DF,?,93,SMALL VERTICAL,SMALL VERTICAL,181.78,181.78,945.2560000000001,981.6120000000001,False,False,True,False
Manni DF,?,95,SILICONE,SILICONE,116.1500,116.1500,603.98,615.5950000000001,False,False,True,False
Manni DF,?,96,0661-0631 LONG RIVETS,0661-0631 LONG RIVETS,0.5150,0.5150,115.36,117.42,False,False,True,False
Manni DF,?,105,CHINESE EXTERNAL HIGH GLOSS,CHINESE EXTERNAL HIGH GLOSS,152.23,213.11,2869.5355,4171.628250000001,False,True,True,False
Manni DF,?,106,30MM PU INJECTION,30MM PU INJECTION,56.61904761904762,56.61904761904762,2441.911580952382,2535.8312571428573,False,False,True,False
Manni DF,?,107,100*19 PICTURE  FRAME,100*19 PICTURE  FRAME,24.760928961748633,25.102459016393443,846.8237704918033,863.5245901639344,False,True,True,False
Manni DF,?,108,CHINESE INTERNAL HIGH IMPACT,CHINESE INTERNAL HIGH IMPACT,193.11,213.11,3640.1235000000006,4171.628250000001,False,True,True,False
Manni DF,?,114,CHINESE EXTERNAL HIGH GLOSS,CHINESE EXTERNAL HIGH GLOSS,152.23,213.11,2924.7188749999996,4094.375875,False,True,True,False
Manni DF,?,116,CHINESE EXTERNAL HIGH GLOSS,CHINESE EXTERNAL HIGH GLOSS,152.23,213.11,2924.7188749999996,4094.375875,False,True,True,False
Manni DF,?,151,5MM PLATE,5MM PLATE,3046.86,2326.21,14726.49,11243.348333333333,False,True,True,False
Manni DF,?,160,24 MM WISA TRANS PLYWOOD,24 MM WISA TRANS PLYWOOD,3150,4295,0,25347.54098360656,False,True,True,False
Manni DF,?,173,SMALL VERTICAL,SMALL VERTICAL,149.08,149.08,775.2160000000001,805.0320000000002,False,False,True,False
Manni DF,?,174,0661-0631 RIVETS,0661-0631 RIVETS,0.5150,0.5150,358.44,360.5,False,False,True,False
AELER PANELS,?,18,WOVEX SKIN,Rhinotex 1375 BW,212.8,226.67,1120.80696,1193.8595564999998,True,True,True,False
AELER PANELS,?,19,30MM PU INJECTION,30MM PU INJECTION,56.61904761904762,56.61904761904762,1085.483282,1194.0316102,False,False,True,False
AELER PANELS,?,20,WOVEX SKIN,Rhinotex 1375 Bioshield,269.05,235.97,1417.0728975,1242.8421915,True,True,True,False
AELER PANELS,?,26,WOVEX SKIN,Rhinotex 1375 BW,212.8,226.67,1094.08992,1175.6239549999998,True,True,True,False
AELER PANELS,?,27,30MM PU INJECTION,30MM PU INJECTION,56.61904761904762,56.61904761904762,946.0788071428569,1049.815518452381,False,False,True,False
AELER PANELS,?,28,WOVEX SKIN,Rhinotex 1375 Bioshield,269.05,235.97,1383.2936699999998,1223.858405,True,True,True,False
AELER PANELS,?,36,WOVEX SKIN,Rhinotex 1375 BW,212.8,226.67,2863.0910000000003,3049.70318125,True,True,True,False
AELER PANELS,?,37,30MM PU INJECTION,30MM PU INJECTION,56.61904761904762,56.61904761904762,1931.0968334821432,2124.2065168303575,False,False,True,False
AELER PANELS,?,38,WOVEX SKIN,Rhinotex 2100 Bioshield,269.05,278.87,3619.8995937500003,3752.0215562500002,True,True,True,False
AELER PANELS,?,44,WOVEX SKIN,Rhinotex 1375 BW,212.8,226.67,2780.8704000000002,2962.1235599999995,True,True,True,False
AELER PANELS,?,45,45MM PU INJECTION,45MM PU INJECTION,56.61904761904762,56.61904761904762,1827.5473542857144,2010.302089714286,False,False,True,False
AELER PANELS,?,46,WOVEX SKIN,Rhinotex 1375 Bioshield,212.8,226.67,2780.8704000000002,2962.1235599999995,True,True,True,False
Sheet1,3MM3CR12 KICK PLATES,39,EXT GRP SKIN 2*300 CSM,Rhinotex 1150 BW,213.11,213.11,1440.6236000000001,1496.0322,True,False,True,True
Sheet1,3MM3CR12 KICK PLATES,40,GLUE LINE,GLUE LINE,28.583333333333332,28.583333333333332,193.22333333333336,200.655,False,False,True,False
Sheet1,3MM3CR12 KICK PLATES,41,20MM EPS,20MM EPS,41.2,41.2,278.51200000000006,289.22400000000005,False,False,True,False
Sheet1,3MM3CR12 KICK PLATES,42,80 DV UNRETHANE,80 DV UNRETHANE,228.65420134228185,228.65420134228185,0,0,False,False,False,True
Sheet1,3MM3CR12 KICK PLATES,43,GLUE LINE,GLUE LINE,28.583333333333332,28.583333333333332,193.22333333333336,200.655,False,False,True,False
Sheet1,3MM3CR12 KICK PLATES,44,4 MM PLYWOOD,4 MM PLYWOOD,71.47651006711409,68.79194630872483,0,436.41610738255036,False,True,True,True
Sheet1,3MM3CR12 KICK PLATES,45,GLUE LINE,GLUE LINE,28.583333333333332,28.583333333333332,0,200.655,False,False,True,False
Sheet1,3MM3CR12 KICK PLATES,46,19MM PHONO BONDED PLYWOOD,19MM PHONO BONDED PLYWOOD,316.77852348993287,223.15436241610738,0,0,False,True,False,True
Sheet1,3MM3CR12 KICK PLATES,47,100*19mm PICTURE FRAME,100*19mm PICTURE FRAME,68.30601092896174,46.27732240437159,710.3825136612021,490.5396174863389,False,True,True,True
Sheet1,3MM3CR12 KICK PLATES,48,INT GRP SKIN 1*450 CSM,Rhinotex 1150 BW,213.11,213.11,1440.6236000000001,1496.0322,True,False,True,True
Sheet1,?,54,EXT GRP SKIN 2*300 CSM,Rhinotex 1150,213.11,213.11,1440.6236000000001,1496.0322,True,False,True,True
Sheet1,?,55,GLUE LINE,GLUE LINE,28.583333333333332,28.583333333333332,193.22333333333336,200.655,False,False,True,False
Sheet1,?,56,20MM EPS,20MM EPS,41.2,41.2,278.51200000000006,289.22400000000005,False,False,True,False
Sheet1,?,57,80DV URETHANE,80DV URETHANE,228.65420134228185,228.65420134228185,0,0,False,False,False,True
Sheet1,?,58,GLUE LINE,GLUE LINE,28.583333333333332,28.583333333333332,0,200.655,False,False,True,False
Sheet1,?,59,4 MM PLYWOOD,4 MM PLYWOOD,71.47651006711409,68.79194630872483,0,436.41610738255036,False,True,True,True
Sheet1,?,60,GLUE LINE,GLUE LINE,28.583333333333332,28.583333333333332,193.22333333333336,200.655,False,False,True,False
Sheet1,?,61,19MM PHONO BONDED PLYWWOD,19MM PHONO BONDED PLYWWOD,316.77852348993287,223.15436241610738,0,0,False,True,False,True
Sheet1,?,62,INT GRP SKIN 1*450 CSM,Rhinotex 1150,213.11,213.11,1440.6236000000001,1496.0322,True,False,True,True
Sheet1,?,63,DOOR BLOCKS,DOOR BLOCKS,264.50775000000004,268.01775000000004,264.50775000000004,268.01775000000004,False,True,True,False
Sheet1,?,73,30258 NEW DOOR CAPPING,30258 NEW DOOR CAPPING,106.14,106.14,1103.856,1146.3120000000001,False,False,True,False
Sheet1,?,74,2316 INNER DOOR RUBBER,2316 INNER DOOR RUBBER,24.72,24.72,381.924,391.812,False,False,True,False
Sheet1,?,75,2317 OUTER DOOR RUBBER,2317 OUTER DOOR RUBBER,60.18,60.18,929.781,953.8530000000001,False,False,True,False
Sheet1,?,88,EXT GRP SKIN 2*300 CSM,Rhinotex 1150,213.11,213.11,1440.6236000000001,1496.0322,True,False,True,True
Sheet1,?,89,GLUE LINE,GLUE LINE,28.583333333333332,28.583333333333332,193.22333333333336,200.655,False,False,True,False
Sheet1,?,90,20MM EPS,20MM EPS,41.2,41.2,278.51200000000006,289.22400000000005,False,False,True,False
